pathway	NES	padj	size	pval	ES	nMoreExtreme	leadingEdge_genes
HALLMARK_ADIPOGENESIS	-2.001823511866154	5.438447649502926e-4	199	1.717327837884252e-4	-0.5402438539396889	0	FABP4;CD36;ITIH5;LEP;CAVIN2;ADIPOQ;LPL;CIDEA;GPAM;SORBS1;PPARG;GPX3;LIPE;ITGA7;ANGPTL4;ENPP2;LIFR;STAT5A;SNCG;CAT;ACADL;FZD4;CAVIN1;SPARCL1;ALDH2;MGLL;PHLDB1;BCL6;MYLK;PFKFB3;CYP4B1;COL15A1;LAMA4;ECH1;CD302;PLIN2;SLC27A1;RETSAT;ITSN1;C3;HADH;SCARB1;CDKN2C;ACADS;ANGPT1;PTGER3;ABCA1;PEMT;HSPB8;COL4A1;GBE1;ACAA2;PHYH;HIBCH;GPX4;CHCHD10;VEGFB;PGM1;GADD45A;STOM;ME1;IFNGR1;ARL4A;ADCY6;TANK;PEX14;ESYT1;SSPN;DECR1
HALLMARK_APICAL_JUNCTION	-1.738988564564845	5.438447649502926e-4	199	1.717327837884252e-4	-0.46931104490912523	0	ADAMTS5;ACTG2;CD209;CLDN11;CD34;FLNC;CLDN8;CX3CL1;CLDN5;MYL9;SORBS3;LIMA1;TRO;SDC3;SPEG;SLIT2;MMP2;COL17A1;VWF;NECTIN3;CALB2;JAM3;NRXN2;EPB41L2;EGFR;CADM3;SIRPA;MAP3K20;PARVA;ARHGEF6;ITGA9;PECAM1;CLDN19;HADH;CNTN1;RRAS;CD99;NLGN2;MYH10;GNAI1;ICAM2;CLDN18;ZYX;AMIGO1;NFASC;FBN1;ADAM23;LAMB3;AKT3;TMEM8B;NEGR1;TSPAN4;LAMA3;PTEN;MAPK11;ACTN1;SKAP2;RASA1;COL16A1;ITGB1;AMIGO2;TJP1;ICAM5;CDH3;SGCE;CADM2;TGFBI;ITGB4;LAYN;LAMC2;NEXN;BMP1;SHC1;TSC1;STX4;SLC30A3;VCAM1;CDH6;ADRA1B;DSC3;IRS1
HALLMARK_COAGULATION	-1.851000205750986	5.438447649502926e-4	137	1.774622892635315e-4	-0.5222891281180168	0	CFD;SERPING1;RAPGEF3;TF;GSN;F8;MAFF;CAPN5;PROS1;MASP2;MMP2;C1R;VWF;DUSP6;LRP1;FYN;CSRP1;ACOX2;DPP4;ANXA1;PECAM1;GP1BA;CLU;C3;C1S;CFI;GNG12;CFH;CASP9;HMGCS2;THBD;A2M;CPQ;S100A1;F10;HTRA1;FBN1;TIMP3;USP11;F3;RGN;PLAT;DCT;SIRT2;ISCU;KLK8;LGMN;CTSO;MMP7;ITGB3;BMP1;ANG
HALLMARK_DNA_REPAIR	1.8945257524064743	5.438447649502926e-4	150	2.332089552238806e-4	0.5110928904131776	0	ZWINT;CANT1;HPRT1;POLA2;RFC2;TYMS;PCNA;ARL6IP1;POLD1;POLB;RAE1;NT5C3A;GTF2A2;RPA3;CETN2;TAF12;FEN1;TMED2;RRM2B;CSTF3;ALYREF;TARBP2;SEC61A1;NME1;TAF13;STX3;TAF6;RFC5;ADRM1;CCNO;POLH;POLR2K;RAD51;SSRP1;RFC3;ZNF707;RFC4;POLD3;POLR1C;CMPK2;RBX1;UPF3B;NELFCD;ERCC4;ERCC2;SNAPC5;SAC3D1;NME3;DGUOK;TSG101;UMPS;CLP1;POLA1;POLR1H;ITPA;RALA;SUPT4H1;POLR2H;VPS28;MPC2;NCBP2;PRIM1;POLD4;RPA2;NELFE;GTF2H1;COX17;LIG1;NME4;GTF2H3
HALLMARK_E2F_TARGETS	2.8427054126384528	5.438447649502926e-4	200	2.382654276864427e-4	0.7400096901580843	0	SPAG5;BIRC5;DEPDC1;CDK1;TOP2A;CIT;ATAD2;MTHFD2;CDCA8;KPNA2;TK1;JPT1;HMMR;DLGAP5;EZH2;SMC4;KIF2C;ORC6;SRSF2;CKS2;CDKN3;RACGAP1;KIF4A;BUB1B;PTTG1;MCM4;H2AX;HMGB3;RRM2;GINS1;KIF18B;SPC24;MKI67;POLA2;TIMELESS;MELK;RFC2;PLK1;CENPE;IPO7;H2AZ1;RAD21;MCM2;CDCA3;CHEK1;RAD51AP1;BRCA2;ASF1B;LMNB1;BARD1;CSE1L;MAD2L1;UBE2S;ESPL1;DCTPP1;TMPO;TIPIN;AURKA;CDC20;SPC25;HMGA1;PAICS;PCNA;RAD1;AURKB;POLD1;TACC3;PRKDC;SLBP;TRIP13;XPO1;MYBL2;SRSF1;CDC25A;RPA3;MCM3;HMGB2;PLK4;PRIM2;RNASEH2A;CTPS1;GSPT1;WDR90;UBE2T;GINS4;AK2;PMS2;NME1;NCAPD2;HELLS;STMN1;NOLC1;KIF22;E2F8;DNMT1;BRCA1;MMS22L;RAN;SNRPB;NUP205;CCP110;TFRC;CENPM;SMC3;TUBG1;POLE;USP1;SSRP1;RFC3;TCF19;GINS3;RBBP7;MCM7;UBR7;POLD3;DCK;DDX39A;TBRG4;CHEK2;CCNB2;CNOT9;MCM6;NBN;DIAPH3;ANP32E;DEK;PRDX4;ASF1A;POLD2;SMC6;EIF2S1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	-2.037494379935087	5.438447649502926e-4	200	1.722652885443583e-4	-0.549757292243753	0	MATN2;ABI3BP;PCOLCE2;TPM2;OXTR;SLIT3;TGFBR3;FBLN5;FGF2;SFRP1;CXCL12;FMOD;MYL9;DST;PDLIM4;DCN;FSTL1;LAMA1;MEST;LAMA2;TAGLN;SLIT2;MMP2;MYLK;JUN;ANPEP;FBLN1;FERMT2;LRP1;NT5E;VIM;IGFBP4;FBLN2;MFAP5;ACTA2;PTX3;LAMC1;GAS1;DAB2;PMP22;SGCG;IL6;COL4A2;ELN;SNAI2;PDGFRB;RHOB;NNMT;ECM2;GADD45B;CCN1;PCOLCE;SFRP4;PRRX1;CALD1;COL5A3;MSX1;COL4A1;HTRA1;IGFBP3;NID2;FBN1;TIMP3;CD59;COL6A2;DPYSL3;FSTL3;CXCL1;GADD45A;SGCB;SGCD;EFEMP2;NOTCH2;TNC;LAMA3;EMP3;PVR;COL7A1;ADAM12;COL16A1;ITGB1;ITGA5;LOX;TGFBI;WIPF1;LAMC2;ITGB3;BMP1;CXCL6;SNTB1;COL6A3;TPM1;VCAM1;CDH6;GEM;LOXL2;MGP
HALLMARK_G2M_CHECKPOINT	2.566183758211519	5.438447649502926e-4	200	2.382654276864427e-4	0.6680259021423749	0	BIRC5;CDK1;TOP2A;KPNA2;NEK2;JPT1;NSD2;HMMR;NDC80;KIF11;EZH2;SMC4;KIF2C;SLC38A1;POLQ;ORC6;SRSF2;CKS2;CDKN3;TTK;RACGAP1;BUB3;CENPF;SQLE;KIF4A;PTTG1;TPX2;KNL1;H2AX;KIF15;HMGB3;MKI67;POLA2;KIF23;PLK1;BUB1;CENPE;CCNF;E2F1;H2AZ1;RAD21;MCM2;CHEK1;E2F2;BRCA2;TROAP;HSPA8;NUSAP1;LMNB1;BARD1;MAD2L1;UBE2C;UBE2S;ESPL1;SMC2;TMPO;CUL4A;CDC45;TFDP1;AURKA;CDC20;HMGA1;KIF5B;CDC6;AURKB;TACC3;XPO1;MYBL2;SRSF1;CDC25A;STIL;SLC7A5;CENPA;DBF4;NUP50;MCM3;EXO1;PLK4;PRIM2;PBK;CCNA2;GINS2;GSPT1;TLE3;STMN1;NOLC1;SMARCC1;KIF22;TRAIP;HIF1A;CCND1;INCENP;POLE;H2BC12;HNRNPU;DKC1;FBXO5;DTYMK;PRMT5;SLC7A1;DDX39A;E2F3;G3BP1;CCNB2;TOP1;RAD54L;H2AZ2;MCM6;HMGN2;SNRPD1;HOXC10;RBL1;KIF20B;CHAF1A;SAP30;SMC1A;ODF2;CKS1B;CDC7;RBM14;RAD23B;CBX1;FANCC;SS18;ATF5;PRC1;KPNB1;DR1;ORC5;CDC27;AMD1;MARCKS;SUV39H1;KATNA1;RPA2;CASP8AP2;MAPK14;TENT4A;LBR
HALLMARK_GLYCOLYSIS	1.7713907715485082	5.438447649502926e-4	199	2.3929169657812874e-4	0.46163996249291994	0	DEPDC1;P4HA1;CDK1;HMMR;POLR3K;FKBP4;TPBG;GOT2;SLC37A4;PAXIP1;BPNT1;PGK1;SRD5A3;ARTN;ME2;PGM2;AURKA;ELF3;SDC1;KIF20A;TXN;PKM;GFUS;CENPA;COPB2;CLN6;TPI1;CLDN9;EGLN3;HSPA5;ALDOA;GALE;FAM162A;B4GALT4;AKR1A1;IER3;STMN1;CHST6;COG2;ERO1A;GMPPB;RARS1;GPC1;GOT1;B3GALT6;SLC25A10;SLC25A13;NANP;AGRN;MDH2;PMM2;GMPPA;EFNA3;SPAG4;PPIA;SDHC;GLCE;CHPF2;STC1;ALG1;CXCR4;G6PD;LDHA;CLDN3;BIK;HAX1;MED24;CHPF;DSC2;ALDOB;RPE;ISG20;CASP6;KIF2A;SAP30;GFPT1;PSMC4;SOD1;GALK1;GUSB;FBP2;IL13RA1;NSDHL;ARPP19;SLC35A3;RBCK1;PGLS;PGAM1;ENO2;PLOD2;PPFIA4;HS2ST1
HALLMARK_HYPOXIA	-1.6827784143070732	5.438447649502926e-4	198	1.7176228100309173e-4	-0.4544419778539037	0	SRPX;GPC3;PCK1;CAV1;ANGPTL4;AKAP12;CDKN1C;CAVIN1;DCN;ADM;SDC3;ZFP36;MAFF;NR3C1;PFKFB3;JUN;PPARGC1A;EGFR;DUSP1;PPP1R15A;PLIN2;UGP2;PNRC1;MXI1;ERRFI1;MT1E;NFIL3;SCARB1;FOS;CHST3;IL6;RORA;MT2A;CCN1;S100A4;ALDOC;BTG1;PIM1;GBE1;IGFBP3;PAM;FOXO3;LARGE1;PYGM;PGM1;HAS1;CSRP2;ACKR3;F3;CHST2;TIPARP;RRAGD;STBD1;SLC2A3;IRS2;KLF6;SDC2;IGFBP1;BNIP3L;PKP1;CAVIN3;VLDLR;WSB1;AK4;CCN5;SELENBP1;FOSL2;PRKCA;CDKN1A;KIF5A;LOX;NDST1;TGFBI;LALBA;HS3ST1;SLC25A1;DPYSL4;RBPJ
HALLMARK_KRAS_SIGNALING_UP	-1.8331621780796312	5.438447649502926e-4	200	1.722652885443583e-4	-0.4946243215143622	0	PIGR;RBP4;RELN;CIDEA;G0S2;KLF4;ANGPTL4;AKAP12;IGF2;IL33;APOD;ALDH1A2;SPRY2;TFPI;TMEM100;SPARCL1;GYPC;ADGRA2;SLPI;CPE;BMP2;CCND2;FLT4;TSPAN7;DUSP6;ADGRL4;GNG11;PTGS2;PPP1R15A;ABCB1;DNMBP;EMP1;F13A1;PECAM1;MMD;CAB39L;CFH;NRP1;SPON1;PLVAP;SCN1B;ENG;TNFRSF1B;SATB1;ALDH1A3;ETV5;PRRX1;CD37;HDAC9;GPRC5B;MTMR10;IGFBP3;GUCY1A1;DCBLD2;GFPT2;PLAT;ETV1;NGF;VWA5A;EVI5;PTBP2;CDADC1;EPB41L3;FGF9;TMEM176A;TMEM176B;HSD11B1
HALLMARK_MITOTIC_SPINDLE	1.7543642331285396	5.438447649502926e-4	198	2.3923444976076556e-4	0.4574585142575056	0	BIRC5;CDK1;ECT2;ANLN;TOP2A;NEK2;EZR;NDC80;DLGAP5;KIF11;SMC4;KIF2C;TTK;RACGAP1;CENPF;KIF3B;KIF4A;TPX2;KIF15;KIF23;PLK1;BUB1;ARFGEF1;CENPE;MAPRE1;KNTC1;BRCA2;TUBGCP3;NUSAP1;LMNB1;CD2AP;ESPL1;AURKA;KIF5B;CKAP5;SEPTIN9;WASL;DLG1;RANBP9;TUBD1;FLNB;KIF22;CEP250;CTTN;FARP1;INCENP;SMC3;ARF6;STK38L;PIF1;TIAM1;FBXO5;LRPPRC;PPP4R2;SHROOM2;CCNB2;FGD6;SAC3D1;STAU1;CEP72;KIF20B;TBCD;CEP192;SMC1A;RALBP1;ABI1;ARL8A;CYTH2;KIF3C;SASS6;DYNLL2;TLK1;PRC1;RHOT2;CDC27;PALLD;BCL2L11;MARCKS;ARHGDIA;KATNA1
HALLMARK_MTORC1_SIGNALING	2.3620438123901186	5.438447649502926e-4	200	2.382654276864427e-4	0.614884434375593	0	PRDX1;P4HA1;CD9;MTHFD2;SERP1;SQLE;TRIB3;MCM4;EPRS1;HPRT1;RRM2;SLC37A4;PLK1;BUB1;EDEM1;PGK1;CCNF;MCM2;CCT6A;SLC2A1;RIT1;NHERF1;DHCR7;AURKA;PSMD14;GMPS;HMBS;STIP1;UCHL5;SLC1A4;HMGCS1;RPN1;CDC25A;SLC7A5;CANX;FADS2;CALR;COPS5;SDF2L1;SORD;IDI1;TXNRD1;DHCR24;TPI1;SRD5A1;HSPE1;EGLN3;SLC7A11;PSMD12;HSPA5;CACYBP;ALDOA;GSK3B;TBK1;PSMA4;TCEA1;ACTR3;IMMT;ACTR2;ERO1A;GSR;PSME3;ATP5MC1;NUP205;TFRC;GOT1;HMGCR;TMEM97;HSPA4;TUBG1;PSMC2;SLC6A6;ASNS;YKT6;GAPDH;HSP90B1;HSPA9;HSPD1;ACACA;PSPH;DDX39A;PPIA;NUFIP1;EIF2S2;STC1;M6PR;CXCR4;G6PD;LDHA;RRP9;STARD4;ABCF2;ATP6V1D;RDH11;XBP1;PSMA3;SSR1;SHMT2;PSMB5;SLA;PSMG1;PSMC4;SEC11A;PDAP1;ACLY;EBP;MLLT11;SQSTM1;TOMM40;PSMC6;POLR3G;ARPC5L;RAB1A
HALLMARK_MYC_TARGETS_V1	2.6117305119201775	5.438447649502926e-4	200	2.382654276864427e-4	0.6798825788665268	0	KPNA2;VBP1;GLO1;SRSF2;BUB3;MCM4;SRPK1;CCT3;EPRS1;HPRT1;HDGF;GOT2;CCT2;PGK1;FAM120A;H2AZ1;MCM2;IARS1;MAD2L1;CDC45;TFDP1;CDC20;PSMD14;UBE2E1;TYMS;PCNA;HSP90AB1;PTGES3;XPO1;SRSF1;PSMD3;SET;CANX;GNL3;COPS5;SNRPA1;TXNL4A;RPS10;CCNA2;HSPE1;CTPS1;CBX3;GSPT1;EIF4G2;ILF2;PSMA6;PSMA4;NME1;NDUFAB1;RNPS1;PSMA7;HDAC2;NOLC1;VDAC1;SMARCC1;SNRPG;XPOT;RUVBL2;RAN;PPM1G;CDK2;VDAC3;USP1;RRM1;AIMP2;CCT5;LSM2;COX5A;RFC4;CYC1;HNRNPU;PRPS2;TRIM28;HSPD1;MCM7;G3BP1;POLE3;PPIA;EIF4E;HNRNPA1;EIF2S2;CSTF2;MCM6;TOMM70;PSMB3;ABCE1;LDHA;SNRPD1;RRP9;EIF3J;DEK;PABPC1;PSMB2;PRDX4;NPM1;POLD2;ACP1;EIF1AX;STARD7;HNRNPR;CLNS1A;LSM7;HNRNPC;EIF2S1;TUFM;CAD;SRSF3;SSBP1;ERH;MRPL9;DDX18;NHP2;PSMC4;NOP56;RAD23B;SSB;CCT4;HNRNPA2B1;KPNB1;NCBP2;PSMD7;PSMC6;YWHAQ;PSMD1;PWP1;TCP1;PRDX3;PHB1;PSMA2
HALLMARK_MYC_TARGETS_V2	1.858610283478284	5.438447649502926e-4	58	2.1748586341887777e-4	0.5782602429821001	0	MCM4;PLK1;TFB2M;DCTPP1;FARSA;GNL3;SORD;PLK4;HSPE1;CBX3;PRMT3;NOLC1;TMEM97;AIMP2;HSPD1;TBRG4;MPHOSPH10;SLC29A2;PUS1;RRP9;NPM1;NIP7;MRTO4;DDX18;NOP56;NOC4L;EXOSC5;PHB1;CDK4;SRM;PA2G4;IMP4;MCM5
HALLMARK_MYOGENESIS	-2.335513441849063	5.438447649502926e-4	199	1.717327837884252e-4	-0.6302987127852498	0	CFD;CD36;FHL1;MYH11;SORBS1;GPX3;DMD;CRYAB;TPM2;ITGA7;APOD;SOD3;LSP1;GSN;FGF2;IGF1;DES;BIN1;PTGIS;SORBS3;SPEG;LAMA2;MYOM1;MRAS;TAGLN;MYLK;TNNT3;PRNP;COL15A1;SMTN;COX7A1;NCAM1;CASQ2;ABLIM1;SGCA;FXYD1;CLU;LDB3;ACSL1;MAPRE3;GNAO1;SGCG;COL4A2;PC;FOXO4;DENND2B;GADD45B;VIPR1;PKIA;NAV2;MYH3;RYR1;HSPB8;SCHIP1;SVIL;LPIN1;IGFBP3;MEF2C;TNNI2;LARGE1;WWTR1;PYGM;COL6A2;MYOZ1;SPTAN1;SGCD;MYL3;MYH4;FST;MYH1;APP;DAPK2;MYO1C;CTF1;SIRT2;EFS;ADAM12;HRC;APLNR;NOS1;SSPN;ITGB1;MAPK12;CDKN1A;SCD;FABP3;DMPK;HDAC5;KLF5;ITGB4;MYOM2;NOTCH1;MYH2;MYH8;HBEGF;COL6A3;REEP1;IGFBP7;KIFC3
HALLMARK_OXIDATIVE_PHOSPHORYLATION	1.769034752605124	5.438447649502926e-4	199	2.3929169657812874e-4	0.4610259633041889	0	IDH2;NDUFB4;COX6C;GOT2;ATP6V1G1;ECI1;ATP6V0B;ATP6V1H;HSD17B10;MRPL15;FH;TIMM17A;PMPCA;GRPEL1;NDUFS8;MRPS30;COX8A;ATP6AP1;ATP5PD;ATP5F1C;MRPS12;NDUFB6;NDUFAB1;VDAC1;SLC25A5;IMMT;NDUFB2;COX11;ATP6V1C1;ATP1B1;ATP5MC1;NDUFC2;ATP6V0E1;VDAC3;MTRR;COX5A;CYC1;MDH2;HSPA9;NDUFA1;MRPS15;LRPPRC;SDHC;TOMM70;LDHA;NDUFB1;UQCRB;IDH3G;ATP5F1E;ATP6V1D;ATP5F1A;BAX;AIFM1;NDUFA8;ATP5PB;PDP1;UQCR10;OPA1;ATP5MF;COX7A2;VDAC2;COX7A2L;MTRF1;DLAT;NDUFS6;MRPL35;OAT;NDUFA5;NDUFA3;NQO2;RHOT2;UQCR11;SDHA;SDHB;NDUFV2;UQCRC1;ATP6V1F;UQCRQ;HTRA2;TIMM10;COX17;PRDX3;NDUFS2;CYCS;TCIRG1;NDUFB3;MRPL11;POR;TIMM8B;ATP5ME;ATP5MC3;MRPS22;ATP5PO;HCCS;SLC25A3;NDUFA2;TIMM9;SURF1;COX10;ATP5MC2;NDUFC1;ATP5F1B;RHOT1;COX6B1;IDH3A;ACAA1;MRPS11;UQCRC2;NDUFS3;CASP7
HALLMARK_PI3K_AKT_MTOR_SIGNALING	1.6778019024886395	5.438447649502926e-4	105	2.247696111485727e-4	0.47339016552399227	0	CDK1;TRIB3;GRB2;E2F1;SLC2A1;RIT1;ARPC3;CLTC;TRAF2;MAPK9;PPP1CA;ARF1;CALR;VAV3;YWHAB;PAK4;GSK3B;CFL1;TBK1;ACTR3;ACTR2;CDK2;IRAK4;RAC1;TIAM1;HSP90B1;RPS6KA1;ACACA;EIF4E;PRKAG1;CXCR4;PFN1;UBE2N;HRAS;AKT1;MYD88;AP2M1;SLA;MAP3K7;PIN1;SQSTM1;CAB39;PLA2G12A;ARHGDIA;ATF1;DAPP1;MAPK1;GRK2;CDK4
HALLMARK_PROTEIN_SECRETION	1.7656824342653008	5.438447649502926e-4	96	2.2306491188935982e-4	0.5049772830261042	0	TPD52;NAPG;TOM1L1;TMX1;ARFGEF1;CLTC;SCAMP3;ATP6V1H;AP2B1;COPB2;ARF1;ARFGEF2;KRT18;TMED2;RAB2A;STAM;COG2;VAMP7;RAB14;CLCN3;COPE;PPT1;YKT6;ERGIC3;LAMP2;M6PR;VPS4B;ANP32E;LMAN1;TSG101;ARFIP1;AP2S1;AP2M1;SOD1;RAB22A;VPS45;COPB1;SCAMP1;TMED10;YIPF6;GOLGA4;MAPK1;GLA;ICA1;SNAP23;CLTA;GNAS;GOSR2
